,u-g,g-r,r-i,i-z,ecc,m4_u,m4_g,m4_r,m4_i,m4_z,petroR50_u,petroR50_r,petroR50_z,petroR90_u,petroR90_r,petroR90_z,class
254,0.9517400000000008,0.5108199999999989,0.4257000000000008,0.2923299999999997,0.7356,2.352855,2.376356,2.446455,2.479741,2.466861,3.959873,4.461379,3.795087,12.97139,13.9767,12.08755,merger
255,1.1272899999999986,0.6257400000000004,0.4324600000000007,0.2287400000000001,0.3773133,2.218606,2.395625,2.392034,2.391753,2.398324,1.720789,2.696266,2.411662,8.484847,8.757905,8.781188,merger
256,1.2053200000000004,0.4899199999999997,0.27027,0.1074599999999996,0.600674,2.304471,2.413442,2.466202,2.503983,2.568614,6.73244,6.189617,4.576037,14.60198,13.58917,9.162639,spiral
257,1.6492000000000004,0.7628599999999999,0.4142200000000002,0.3262,0.5743676,2.317004,2.423213,2.400219,2.402899,2.412933,5.164757,4.289968,4.343569,13.71543,13.26207,14.70695,spiral
258,1.2283999999999988,0.6044599999999996,0.3904899999999998,0.2891300000000001,0.6689994,2.056115,2.182252,2.30951,2.391414,2.472397,3.627267,4.063471,3.717708,9.580675,12.20242,11.82622,merger
259,1.5589199999999988,0.7589400000000008,0.4225599999999989,0.306280000000001,0.7592146,2.456989,2.568605,2.604999,2.610798,2.66803,24.45571,26.91663,20.59518,51.53348,58.79544,45.10267,spiral
260,1.35421,0.6071200000000001,0.2681000000000004,0.2123499999999989,0.967469,2.391449,2.510979,2.542533,2.56925,2.563226,12.71827,11.39631,10.91666,29.37548,25.5387,29.85895,spiral
261,1.7567200000000014,0.79406,0.3695000000000004,0.247679999999999,0.8521752,2.530732,2.486228,2.484681,2.49447,2.488019,8.537376,7.375994,6.295908,24.78226,22.76394,19.61482,elliptical
262,1.0996299999999994,0.501380000000001,0.2390899999999991,0.0837099999999999,0.9964085,1.933839,2.054366,2.110474,2.151546,2.246934,25.71847,27.01943,26.19771,46.73907,53.87565,52.44797,spiral
263,1.6989600000000014,0.8596799999999991,0.4310100000000005,0.3765299999999989,0.9004944,2.380158,2.500828,2.51543,2.49322,2.483322,3.644117,3.462108,3.215075,11.52389,10.25202,9.673769,elliptical
264,1.9694000000000005,0.9572299999999992,0.4454200000000003,0.3170000000000001,0.7667384,2.472265,2.371206,2.406944,2.438527,2.429219,4.893922,3.475342,3.348078,12.91102,10.63289,10.16529,elliptical
265,1.314499999999999,0.5847400000000018,0.3390199999999996,0.1857499999999987,0.9102932,1.954522,2.169421,2.2793,2.318618,2.381634,4.712465,4.458061,3.843911,7.822961,8.641428,7.338095,spiral
266,1.9186699999999988,0.8712300000000006,0.4189900000000008,0.3085899999999988,0.841436,2.365127,2.400698,2.429962,2.43234,2.439924,4.095822,4.759507,4.516379,10.48085,15.44159,15.06388,elliptical
267,2.122200000000003,1.0546099999999967,0.5365400000000022,0.2925199999999996,0.7925121,0.4348705,2.287968,2.342789,2.379974,2.399477,1.47944,2.839247,2.231832,2.058934,8.598144,6.668344,merger
268,2.07086,1.128260000000001,0.459480000000001,0.3565799999999992,0.8517063,2.24409,2.343993,2.350174,2.350504,2.353764,2.6472,3.256323,3.245358,6.278037,10.73957,10.49215,elliptical
269,1.7559000000000005,0.8336300000000012,0.4436199999999992,0.3596000000000003,0.4608842,2.199671,2.352554,2.4865,2.556132,2.603664,9.785398,9.373276,8.952613,22.53439,23.79836,24.42317,spiral
270,2.18177,1.0080999999999989,0.4286799999999999,0.2837000000000014,0.7857103,2.144222,2.345958,2.381939,2.365664,2.373902,2.639623,3.371831,2.316996,6.604912,10.37474,6.585587,merger
271,1.21518,0.6177199999999985,0.4057099999999991,0.2461800000000007,0.8891262,1.967398,2.116862,2.224231,2.25234,2.304321,2.522156,2.539708,2.38026,5.537885,5.613749,5.156144,merger
272,1.6546000000000003,0.4945299999999992,0.3191500000000005,-0.3593799999999998,0.8829378,2.247675,2.425723,2.447544,2.485059,2.505994,8.394969,10.69195,5.045566,19.0025,25.9916,10.17344,spiral
273,1.9042600000000007,0.88645,0.4107200000000013,0.2965499999999998,0.6123837,2.361025,2.384229,2.400331,2.401162,2.403618,3.922631,3.385265,3.263491,11.56105,11.0353,11.25909,elliptical
274,1.9974900000000029,1.040689999999998,0.4142500000000009,0.3626400000000007,0.7998068,2.524364,2.404413,2.412796,2.420965,2.411647,4.667667,3.206486,2.899903,12.96563,10.49512,9.168991,elliptical
275,1.8980100000000029,0.914279999999998,0.4919600000000006,0.31095,0.5402797,2.384785,2.429524,2.404261,2.422189,2.402131,3.276323,3.065812,2.765849,7.681708,8.709917,7.984151,merger
276,1.83376,0.7767699999999991,0.3502399999999994,0.3294399999999999,0.9188477,2.392527,2.404022,2.406507,2.40732,2.402208,3.512275,3.188545,3.04331,11.05597,9.654565,9.246809,elliptical
